      1955,-3.201
      1956,-2.608
      1957,-4.613
      1958,-1.533
      1959,-2.190
      1960,-1.442
      1961,-2.115
      1962,-1.075
      1963,-2.272
      1964,-3.121
      1965,-3.060
      1966,-3.944
      1967,-4.361
      1968,-5.728
      1969,-4.481
      1970,-5.298
      1971,-3.768
      1972,-5.239
      1973,-3.519
      1974,-2.775
      1975,-1.551
      1976,-2.604
      1977,0.032
      1978,0.052
      1979,-0.960
      1980,1.091
      1981,0.122
      1982,-2.306
      1983,-2.763
      1984,-0.459
      1985,0.110
      1986,-1.037
      1987,-0.893
      1988,1.089
      1989,0.904
      1990,0.178
      1991,2.646
      1992,0.572
      1993,0.684
      1994,1.510
      1995,2.264
      1996,4.544
      1997,3.245
      1998,4.304
      1999,5.943
      2000,5.857
      2001,4.117
      2002,6.789
      2003,9.952
      2004,10.241
      2005,8.412
      2006,10.430
      2007,9.478
      2008,10.052
      2009,10.127
      2010,10.075
